,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,YV.INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1),IND,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",32. RODRIGO ALEJANDRO VENEGAS VERGARA (H),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,1,ARICA,2822,ARICA,7001,2M-11M,70010002,"1,04%",33. FERNANDA ANDREA MORALES ARACENA (M),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",34. CAMILO MARTIN JOFRE CAÑIPA (H),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",35. VALENTINA PAZ ALBARRACIN GONZALEZ (M),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",36. MANUEL AQUILES ROJAS VIDELA (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,3,ARICA,2822,ARICA,7001,2M-11M,70010002,"3,12%",37. RODRIGO LEONARDO MUÑOZ PONCE (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,12,ARICA,2822,ARICA,7001,2M-11M,70010002,"12,50%",38. ROMINA ALEJANDRA LE BLANC AMPUERO (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",1. MILENE ROSSINA MOLINA ARANCIBIA (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,7,ARICA,2822,ARICA,7001,3M,70010003,"6,31%",2. JOSE ISAAC BARRAZA LLERENA (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,1,ARICA,2822,ARICA,7001,3M,70010003,"0,90%",3. YARLLETTE ISABEL MARAMBIO FLOR (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",4. SERGIO JESUS GALLARDO ALFARO (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",5. REBECA BUTRON CATALAN (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,5,ARICA,2822,ARICA,7001,3M,70010003,"4,50%",6. GIGLIOLA MARIA CARLEVARINO WEITZEL (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",7. WILLI HANS ZUCHEL BALCARCE (H),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",8. CARMEN LIA VERGARA BERTON (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",9. CRISTIAN GUSTAVO PINTO CORTEZ (H),,,1.0
0,XP.VAMOS POR CHILE,IND-UDI,10,ARICA,2822,ARICA,7001,3M,70010003,"9,01%",10. POLLYANA RIVERA BIGAS (M),,*,1.0
